Spinning top Green,NmM4MmJhZGYtNDYxYi00NGZlLWIzYzMtMzQwOWE4NTEzMWZi,Candle Patterns,,9,,,9
Spinning top Red,MTVmZDExNDAtMjI1NC00OGY0LTllYTMtZDliMzYxNWRlMzAy,Candle Patterns,,9,,,9
Doji,NDI3Y2ViMDktZTYzZi00NzhhLThhNGItMGE5N2FhMTcxYTBk,Candle Patterns,,9,,,9
Four Price Doji,ZmQxZDEyYmYtODA5OS00MzFmLTg3N2MtOWY3YjQyM2ZjNWJl,Candle Patterns,,9,,,9
Gravestone Doji,YThiNWQyZGYtYzJkZS00NzUyLTg2NjItNWI5MzZlNWRmNTYy,Candle Patterns,,9,,,9
Dragonfly Doji,ZTNjOTVkM2EtZjZkOS00ZWUxLThmZGItMGNjN2Q4NDQ1MGMw,Candle Patterns,,9,,,9
Hammer,NWUwOGM3ZjgtNjIzZC00YmIzLWFhNmUtZGM3NmQwMjMxYWI5,Candle Patterns,,9,,,9
Hanging Man,ODUxNzM0YzYtMzQwMC00YTYxLWJlYWQtMDRkYTlkYmQ1ZmVl,Candle Patterns,,9,,,9
Paper Umbrella,OTk1NThiODEtZDk5NS00MTM5LWE2NGYtNmJhYzIwYTM0Y2M4,Candle Patterns,,9,,,9
Bullish Pin Bar,OTU2ODFlNzItM2Q2OS00YzgxLWE4ZjYtOWNmZjhjODJhZjZh,Candle Patterns,,9,,,9
Inverted Hammer,M2ZmZmYyYTUtNTczMy00YWJkLTljYmQtOGQ4NmM2MWY5ZjBh,Candle Patterns,,9,,,9
Shooting Star,MjI5NTc3NmItZjIxZS00OTY0LWFjNmUtNmFmNWZlN2FhOGM0,Candle Patterns,,9,,,9
Bearish Pin Bar,NWQxYWUxMDAtOTg4MS00MmEyLWFlMTMtMmY5ZTMxNjI5YmRj,Candle Patterns,,9,,,9
Bullish engulfing,ZDE3YjFmYzktZmMzOS00MzQ5LWEwZmYtNTJhYjE2ZDFmZDdm,Candle Patterns,,9,,,9
Bearish engulfing,MWMyZmRjMWQtYTRlNy00ZGEwLThiNzItNGU5Njg4N2UwOGI2,Candle Patterns,,9,,,9
Bearish Harami pattern,ZjI4MmI3OTItYTVkMy00YjU4LWJkYTgtYTU3NzZhOTdlOGVh,Candle Patterns,,9,,,9
Bullish Harami pattern,ZWIxYjRjZjYtMGMyNy00MTZhLTk1NTAtMWU5YWNjNzAyYjZm,Candle Patterns,,9,,,9
Bullish inside bar,ZmQ3MDExNGEtMTQ4Yy00ZjgyLTlmNzctMDYwYTZhOGMxZThi,Candle Patterns,,9,,,9
Bearish inside bar,NzRjZTViNWUtNmI0ZS00YWJhLTg1NDUtY2RlYjUwN2ZlMzY5,Candle Patterns,,9,,,9
